dataset,estimator,train_source,generator,rmse,r2,delta_rmse,delta_r2
online_news_popularity,CatBoost,TSTR,DSB,0.9350571935155877,-0.005744889870997305,0.007589057883929162,-0.016259288466897392
online_news_popularity,CatBoost,TSTR,CTGAN,0.9234282924598923,0.019115579986155096,-0.0040398431717662,0.008601181390255008
online_news_popularity,CatBoost,TSTR,TabDDPM,16.908970595433704,-327.88632886994026,15.981502459802046,-327.89684326853614
adult_numeric,Ridge,REAL_TRTR,REAL,0.7318731668581266,0.4649665951728821,0.0,0.0
adult_numeric,Ridge,TSTR,DSB,0.7608316978515005,0.4217888116836548,0.028958530993373865,-0.043177783489227295
adult_numeric,Ridge,TSTR,CTGAN,0.8018586145333951,0.3577488660812378,0.06998544767526849,-0.10721772909164429
adult_numeric,Ridge,TSTR,TabDDPM,0.8348147972665365,0.303871214389801,0.10294163040840987,-0.16109538078308105
adult_numeric,RF,REAL_TRTR,REAL,0.60566457634273,0.6335846635218361,0.0,0.0
adult_numeric,RF,TSTR,DSB,0.7347980815644769,0.46068149364934563,0.12913350522174694,-0.17290316987249044
adult_numeric,RF,TSTR,CTGAN,0.8187895031380831,0.3303408175698087,0.2131249267953531,-0.30324384595202736
adult_numeric,RF,TSTR,TabDDPM,0.7688047494255827,0.4096067130170957,0.16314017308285278,-0.22397795050474034
adult_numeric,CatBoost,REAL_TRTR,REAL,0.5799668439986592,0.66401829636629,0.0,0.0
adult_numeric,CatBoost,TSTR,DSB,0.7446410434784554,0.4461358749072656,0.16467419947979622,-0.21788242145902437
adult_numeric,CatBoost,TSTR,CTGAN,0.8252333273382731,0.3197589865185053,0.24526648333961398,-0.34425930984778463
adult_numeric,CatBoost,TSTR,TabDDPM,0.7948363157199729,0.3689486520189633,0.21486947172131377,-0.29506964434732663
